@relation "dataid=26 6 months w/ temperature"
@attribute local_time DATE "yyyy-MM-dd'T'HH:mm:ssZ"
@attribute active_power NUMERIC
@attribute temperature NUMERIC
@attribute monthOfYear {'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12'}
@attribute dayOfMonth {'00', '01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24','25', '26', '27', '28', '29', '30', '31'}
@attribute dayOfWeek {'0', '1', '2', '3', '4', '5', '6'}
@attribute Weekend {'True', 'False'}
@attribute hourOfDay {'00', '01', '02', '03', '04', '05', '06','07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@attribute quarterOfHour {'00', '15', '30', '45'}
@attribute Holiday {'True', 'False'}
@data
2015-02-01T00:00:00-0600,72.64,15.78,02,01,6,True,00,00,False
2015-02-01T00:15:00-0600,55.3,15.74,02,01,6,True,00,15,False
2015-02-01T00:30:00-0600,51.84,15.7,02,01,6,True,00,30,False
2015-02-01T00:45:00-0600,56.38,15.66,02,01,6,True,00,45,False
2015-02-01T01:00:00-0600,50.56,15.62,02,01,6,True,01,00,False
2015-02-01T01:15:00-0600,52.06,15.57,02,01,6,True,01,15,False
2015-02-01T01:30:00-0600,48.96,15.52,02,01,6,True,01,30,False
2015-02-01T01:45:00-0600,38.35,15.47,02,01,6,True,01,45,False
2015-02-01T02:00:00-0600,50.58,15.43,02,01,6,True,02,00,False
2015-02-01T02:15:00-0600,56.1,15.33,02,01,6,True,02,15,False
2015-02-01T02:30:00-0600,48.06,15.24,02,01,6,True,02,30,False
2015-02-01T02:45:00-0600,45.24,15.14,02,01,6,True,02,45,False
2015-02-01T03:00:00-0600,40.85,15.05,02,01,6,True,03,00,False
2015-02-01T03:15:00-0600,45.4,15.03,02,01,6,True,03,15,False
2015-02-01T03:30:00-0600,49.69,15.01,02,01,6,True,03,30,False
2015-02-01T03:45:00-0600,44.55,14.99,02,01,6,True,03,45,False
2015-02-01T04:00:00-0600,43.06,14.97,02,01,6,True,04,00,False
2015-02-01T04:15:00-0600,51.16,14.91,02,01,6,True,04,15,False
2015-02-01T04:30:00-0600,40.79,14.85,02,01,6,True,04,30,False
2015-02-01T04:45:00-0600,42.5,14.79,02,01,6,True,04,45,False
2015-02-01T05:00:00-0600,52.23,14.73,02,01,6,True,05,00,False
2015-02-01T05:15:00-0600,43.99,14.66,02,01,6,True,05,15,False
2015-02-01T05:30:00-0600,39.45,14.6,02,01,6,True,05,30,False
2015-02-01T05:45:00-0600,46.21,14.53,02,01,6,True,05,45,False
2015-02-01T06:00:00-0600,46.58,14.47,02,01,6,True,06,00,False
2015-02-01T06:15:00-0600,47.54,14.53,02,01,6,True,06,15,False
2015-02-01T06:30:00-0600,58.29,14.60,02,01,6,True,06,30,False
2015-02-01T06:45:00-0600,55.21,14.67,02,01,6,True,06,45,False
2015-02-01T07:00:00-0600,66.23,14.74,02,01,6,True,07,00,False
2015-02-01T07:15:00-0600,76.36,14.84,02,01,6,True,07,15,False
2015-02-01T07:30:00-0600,76.9,14.95,02,01,6,True,07,30,False
2015-02-01T07:45:00-0600,81.04,15.05,02,01,6,True,07,45,False
2015-02-01T08:00:00-0600,73.15,15.16,02,01,6,True,08,00,False
2015-02-01T08:15:00-0600,68.37,15.35,02,01,6,True,08,15,False
2015-02-01T08:30:00-0600,66.19,15.55,02,01,6,True,08,30,False
2015-02-01T08:45:00-0600,95.36,15.75,02,01,6,True,08,45,False
2015-02-01T09:00:00-0600,93.66,15.95,02,01,6,True,09,00,False
2015-02-01T09:15:00-0600,89.7,16.29,02,01,6,True,09,15,False
2015-02-01T09:30:00-0600,77.04,16.63,02,01,6,True,09,30,False
2015-02-01T09:45:00-0600,76.89,16.97,02,01,6,True,09,45,False
2015-02-01T10:00:00-0600,81.24,17.31,02,01,6,True,10,00,False
2015-02-01T10:15:00-0600,83.72,17.84,02,01,6,True,10,15,False
2015-02-01T10:30:00-0600,74.97,18.37,02,01,6,True,10,30,False
2015-02-01T10:45:00-0600,71.09,18.90,02,01,6,True,10,45,False
2015-02-01T11:00:00-0600,105.11,19.44,02,01,6,True,11,00,False
2015-02-01T11:15:00-0600,92.18,19.66,02,01,6,True,11,15,False
2015-02-01T11:30:00-0600,109.07,19.89,02,01,6,True,11,30,False
2015-02-01T11:45:00-0600,107.04,20.12,02,01,6,True,11,45,False
2015-02-01T12:00:00-0600,101.67,20.35,02,01,6,True,12,00,False
2015-02-01T12:15:00-0600,118.05,20.38,02,01,6,True,12,15,False
2015-02-01T12:30:00-0600,90.08,20.42,02,01,6,True,12,30,False
2015-02-01T12:45:00-0600,84.23,20.45,02,01,6,True,12,45,False
2015-02-01T13:00:00-0600,83.09,20.49,02,01,6,True,13,00,False
2015-02-01T13:15:00-0600,82.45,20.54,02,01,6,True,13,15,False
2015-02-01T13:30:00-0600,87.48,20.60,02,01,6,True,13,30,False
2015-02-01T13:45:00-0600,82.23,20.66,02,01,6,True,13,45,False
2015-02-01T14:00:00-0600,92.81,20.72,02,01,6,True,14,00,False
2015-02-01T14:15:00-0600,87.87,20.52,02,01,6,True,14,15,False
2015-02-01T14:30:00-0600,76.36,20.32,02,01,6,True,14,30,False
2015-02-01T14:45:00-0600,86.9,20.12,02,01,6,True,14,45,False
2015-02-01T15:00:00-0600,91.31,19.92,02,01,6,True,15,00,False
2015-02-01T15:15:00-0600,110.08,19.49,02,01,6,True,15,15,False
2015-02-01T15:30:00-0600,112.23,19.06,02,01,6,True,15,30,False
2015-02-01T15:45:00-0600,99.14,18.63,02,01,6,True,15,45,False
2015-02-01T16:00:00-0600,96.02,18.21,02,01,6,True,16,00,False
2015-02-01T16:15:00-0600,90.88,17.75,02,01,6,True,16,15,False
2015-02-01T16:30:00-0600,108.5,17.29,02,01,6,True,16,30,False
2015-02-01T16:45:00-0600,94.83,16.83,02,01,6,True,16,45,False
2015-02-01T17:00:00-0600,84.48,16.37,02,01,6,True,17,00,False
2015-02-01T17:15:00-0600,97.68,15.98,02,01,6,True,17,15,False
2015-02-01T17:30:00-0600,124.32,15.60,02,01,6,True,17,30,False
2015-02-01T17:45:00-0600,100.4,15.22,02,01,6,True,17,45,False
2015-02-01T18:00:00-0600,96.58,14.84,02,01,6,True,18,00,False
2015-02-01T18:15:00-0600,113.82,14.51,02,01,6,True,18,15,False
2015-02-01T18:30:00-0600,109.8,14.18,02,01,6,True,18,30,False
2015-02-01T18:45:00-0600,109.43,13.85,02,01,6,True,18,45,False
2015-02-01T19:00:00-0600,104.94,13.53,02,01,6,True,19,00,False
2015-02-01T19:15:00-0600,97.55,13.13,02,01,6,True,19,15,False
2015-02-01T19:30:00-0600,88.51,12.73,02,01,6,True,19,30,False
2015-02-01T19:45:00-0600,91.91,12.33,02,01,6,True,19,45,False
2015-02-01T20:00:00-0600,91.25,11.94,02,01,6,True,20,00,False
2015-02-01T20:15:00-0600,86.97,11.61,02,01,6,True,20,15,False
2015-02-01T20:30:00-0600,84.67,11.29,02,01,6,True,20,30,False
2015-02-01T20:45:00-0600,97.77,10.97,02,01,6,True,20,45,False
2015-02-01T21:00:00-0600,97.81,10.65,02,01,6,True,21,00,False
2015-02-01T21:15:00-0600,81.41,10.16,02,01,6,True,21,15,False
2015-02-01T21:30:00-0600,75.26,9.67,02,01,6,True,21,30,False
2015-02-01T21:45:00-0600,75.17,9.18,02,01,6,True,21,45,False
2015-02-01T22:00:00-0600,80.59,8.69,02,01,6,True,22,00,False
2015-02-01T22:15:00-0600,91.13,8.402,02,01,6,True,22,15,False
2015-02-01T22:30:00-0600,63.14,8.115,02,01,6,True,22,30,False
2015-02-01T22:45:00-0600,62.27,7.827,02,01,6,True,22,45,False
2015-02-01T23:00:00-0600,63.66,7.54,02,01,6,True,23,00,False
2015-02-01T23:15:00-0600,56.8,7.285,02,01,6,True,23,15,False
2015-02-01T23:30:00-0600,57.3,7.03,02,01,6,True,23,30,False
2015-02-01T23:45:00-0600,63.03,6.775,02,01,6,True,23,45,False
2015-02-02T00:00:00-0600,54.33,6.52,02,02,0,False,00,00,False
2015-02-02T00:15:00-0600,73.43,6.357,02,02,0,False,00,15,False
2015-02-02T00:30:00-0600,67.29,6.195,02,02,0,False,00,30,False
2015-02-02T00:45:00-0600,66.31,6.032,02,02,0,False,00,45,False
2015-02-02T01:00:00-0600,62.27,5.87,02,02,0,False,01,00,False
2015-02-02T01:15:00-0600,66.85,5.642,02,02,0,False,01,15,False
2015-02-02T01:30:00-0600,61.7,5.415,02,02,0,False,01,30,False
2015-02-02T01:45:00-0600,61.07,5.187,02,02,0,False,01,45,False
2015-02-02T02:00:00-0600,60.35,4.96,02,02,0,False,02,00,False
2015-02-02T02:15:00-0600,56.64,4.802,02,02,0,False,02,15,False
2015-02-02T02:30:00-0600,63.42,4.645,02,02,0,False,02,30,False
2015-02-02T02:45:00-0600,55.47,4.487,02,02,0,False,02,45,False
2015-02-02T03:00:00-0600,56.29,4.33,02,02,0,False,03,00,False
2015-02-02T03:15:00-0600,64.71,4.102,02,02,0,False,03,15,False
2015-02-02T03:30:00-0600,55.32,3.875,02,02,0,False,03,30,False
2015-02-02T03:45:00-0600,64.96,3.647,02,02,0,False,03,45,False
2015-02-02T04:00:00-0600,56.19,3.42,02,02,0,False,04,00,False
2015-02-02T04:15:00-0600,55.97,3.222,02,02,0,False,04,15,False
2015-02-02T04:30:00-0600,60.35,3.025,02,02,0,False,04,30,False
2015-02-02T04:45:00-0600,68.08,2.827,02,02,0,False,04,45,False
2015-02-02T05:00:00-0600,66.73,2.63,02,02,0,False,05,00,False
2015-02-02T05:15:00-0600,61.06,2.367,02,02,0,False,05,15,False
2015-02-02T05:30:00-0600,69.73,2.105,02,02,0,False,05,30,False
2015-02-02T05:45:00-0600,68.3,1.842,02,02,0,False,05,45,False
2015-02-02T06:00:00-0600,70.37,1.58,02,02,0,False,06,00,False
2015-02-02T06:15:00-0600,87.62,1.477,02,02,0,False,06,15,False
2015-02-02T06:30:00-0600,87.99,1.375,02,02,0,False,06,30,False
2015-02-02T06:45:00-0600,107.05,1.272,02,02,0,False,06,45,False
2015-02-02T07:00:00-0600,108.66,1.17,02,02,0,False,07,00,False
2015-02-02T07:15:00-0600,101.93,1.07,02,02,0,False,07,15,False
2015-02-02T07:30:00-0600,104.35,0.97,02,02,0,False,07,30,False
2015-02-02T07:45:00-0600,107.93,0.87,02,02,0,False,07,45,False
2015-02-02T08:00:00-0600,91.15,0.77,02,02,0,False,08,00,False
2015-02-02T08:15:00-0600,91.82,0.962,02,02,0,False,08,15,False
2015-02-02T08:30:00-0600,87.29,1.155,02,02,0,False,08,30,False
2015-02-02T08:45:00-0600,97.33,1.347,02,02,0,False,08,45,False
2015-02-02T09:00:00-0600,103.01,1.54,02,02,0,False,09,00,False
2015-02-02T09:15:00-0600,96.34,1.945,02,02,0,False,09,15,False
2015-02-02T09:30:00-0600,71.37,2.35,02,02,0,False,09,30,False
2015-02-02T09:45:00-0600,72.83,2.755,02,02,0,False,09,45,False
2015-02-02T10:00:00-0600,93.73,3.16,02,02,0,False,10,00,False
2015-02-02T10:15:00-0600,87.97,3.575,02,02,0,False,10,15,False
2015-02-02T10:30:00-0600,91.03,3.99,02,02,0,False,10,30,False
2015-02-02T10:45:00-0600,73.8,4.405,02,02,0,False,10,45,False
2015-02-02T11:00:00-0600,87.47,4.82,02,02,0,False,11,00,False
2015-02-02T11:15:00-0600,77.53,5.26,02,02,0,False,11,15,False
2015-02-02T11:30:00-0600,70.88,5.7,02,02,0,False,11,30,False
2015-02-02T11:45:00-0600,70.03,6.14,02,02,0,False,11,45,False
2015-02-02T12:00:00-0600,77.86,6.58,02,02,0,False,12,00,False
2015-02-02T12:15:00-0600,98.79,6.83,02,02,0,False,12,15,False
2015-02-02T12:30:00-0600,91.01,7.08,02,02,0,False,12,30,False
2015-02-02T12:45:00-0600,96.1,7.33,02,02,0,False,12,45,False
2015-02-02T13:00:00-0600,78.63,7.58,02,02,0,False,13,00,False
2015-02-02T13:15:00-0600,69,7.847,02,02,0,False,13,15,False
2015-02-02T13:30:00-0600,75.26,8.115,02,02,0,False,13,30,False
2015-02-02T13:45:00-0600,74.57,8.382,02,02,0,False,13,45,False
2015-02-02T14:00:00-0600,71.18,8.65,02,02,0,False,14,00,False
2015-02-02T14:15:00-0600,74.59,8.785,02,02,0,False,14,15,False
2015-02-02T14:30:00-0600,88.85,8.92,02,02,0,False,14,30,False
2015-02-02T14:45:00-0600,89.49,9.055,02,02,0,False,14,45,False
2015-02-02T15:00:00-0600,96.69,9.19,02,02,0,False,15,00,False
2015-02-02T15:15:00-0600,73.13,9.175,02,02,0,False,15,15,False
2015-02-02T15:30:00-0600,63.49,9.16,02,02,0,False,15,30,False
2015-02-02T15:45:00-0600,54,9.145,02,02,0,False,15,45,False
2015-02-02T16:00:00-0600,63.21,9.13,02,02,0,False,16,00,False
2015-02-02T16:15:00-0600,60.47,9.017,02,02,0,False,16,15,False
2015-02-02T16:30:00-0600,80.15,8.905,02,02,0,False,16,30,False
2015-02-02T16:45:00-0600,69.04,8.792,02,02,0,False,16,45,False
2015-02-02T17:00:00-0600,86.05,8.68,02,02,0,False,17,00,False
2015-02-02T17:15:00-0600,96.46,8.4,02,02,0,False,17,15,False
2015-02-02T17:30:00-0600,128.09,8.12,02,02,0,False,17,30,False
2015-02-02T17:45:00-0600,125.8,7.84,02,02,0,False,17,45,False
2015-02-02T18:00:00-0600,125.53,7.56,02,02,0,False,18,00,False
2015-02-02T18:15:00-0600,109.33,7.327,02,02,0,False,18,15,False
2015-02-02T18:30:00-0600,120.53,7.095,02,02,0,False,18,30,False
2015-02-02T18:45:00-0600,102.18,6.862,02,02,0,False,18,45,False
2015-02-02T19:00:00-0600,98.23,6.63,02,02,0,False,19,00,False
2015-02-02T19:15:00-0600,99.26,6.52,02,02,0,False,19,15,False
2015-02-02T19:30:00-0600,108.69,6.41,02,02,0,False,19,30,False
2015-02-02T19:45:00-0600,92.98,6.3,02,02,0,False,19,45,False
2015-02-02T20:00:00-0600,101.94,6.19,02,02,0,False,20,00,False
2015-02-02T20:15:00-0600,112.47,6.075,02,02,0,False,20,15,False
2015-02-02T20:30:00-0600,100.76,5.96,02,02,0,False,20,30,False
2015-02-02T20:45:00-0600,106.57,5.845,02,02,0,False,20,45,False
2015-02-02T21:00:00-0600,125.7,5.73,02,02,0,False,21,00,False
2015-02-02T21:15:00-0600,112.79,5.64,02,02,0,False,21,15,False
2015-02-02T21:30:00-0600,103.16,5.55,02,02,0,False,21,30,False
2015-02-02T21:45:00-0600,108.16,5.46,02,02,0,False,21,45,False
2015-02-02T22:00:00-0600,86.4,5.37,02,02,0,False,22,00,False
2015-02-02T22:15:00-0600,82.24,5.35,02,02,0,False,22,15,False
2015-02-02T22:30:00-0600,76.9,5.33,02,02,0,False,22,30,False
2015-02-02T22:45:00-0600,83.52,5.31,02,02,0,False,22,45,False
2015-02-02T23:00:00-0600,93.7,5.29,02,02,0,False,23,00,False
2015-02-02T23:15:00-0600,80.22,5.237,02,02,0,False,23,15,False
2015-02-02T23:30:00-0600,82.19,5.185,02,02,0,False,23,30,False
2015-02-02T23:45:00-0600,66.44,5.132,02,02,0,False,23,45,False
2015-02-03T00:00:00-0600,67.53,5.08,02,03,1,False,00,00,False
2015-02-03T00:15:00-0600,90.69,4.93,02,03,1,False,00,15,False
2015-02-03T00:30:00-0600,62.56,4.78,02,03,1,False,00,30,False
2015-02-03T00:45:00-0600,69.55,4.63,02,03,1,False,00,45,False
2015-02-03T01:00:00-0600,70.11,4.48,02,03,1,False,01,00,False
2015-02-03T01:15:00-0600,63.83,4.512,02,03,1,False,01,15,False
2015-02-03T01:30:00-0600,74.53,4.545,02,03,1,False,01,30,False
2015-02-03T01:45:00-0600,78.73,4.577,02,03,1,False,01,45,False
2015-02-03T02:00:00-0600,70.5,4.61,02,03,1,False,02,00,False
2015-02-03T02:15:00-0600,74.47,4.605,02,03,1,False,02,15,False
2015-02-03T02:30:00-0600,63.39,4.6,02,03,1,False,02,30,False
2015-02-03T02:45:00-0600,71.01,4.595,02,03,1,False,02,45,False
2015-02-03T03:00:00-0600,79.23,4.59,02,03,1,False,03,00,False
2015-02-03T03:15:00-0600,75.42,4.597,02,03,1,False,03,15,False
2015-02-03T03:30:00-0600,76.76,4.605,02,03,1,False,03,30,False
2015-02-03T03:45:00-0600,80.21,4.612,02,03,1,False,03,45,False
2015-02-03T04:00:00-0600,72.68,4.62,02,03,1,False,04,00,False
2015-02-03T04:15:00-0600,83.85,4.545,02,03,1,False,04,15,False
2015-02-03T04:30:00-0600,80.79,4.47,02,03,1,False,04,30,False
2015-02-03T04:45:00-0600,87.28,4.395,02,03,1,False,04,45,False
2015-02-03T05:00:00-0600,83.28,4.32,02,03,1,False,05,00,False
2015-02-03T05:15:00-0600,65.74,4.36,02,03,1,False,05,15,False
2015-02-03T05:30:00-0600,69.39,4.4,02,03,1,False,05,30,False
2015-02-03T05:45:00-0600,91.53,4.44,02,03,1,False,05,45,False
2015-02-03T06:00:00-0600,87.56,4.48,02,03,1,False,06,00,False
2015-02-03T06:15:00-0600,92.16,4.63,02,03,1,False,06,15,False
2015-02-03T06:30:00-0600,94.12,4.78,02,03,1,False,06,30,False
2015-02-03T06:45:00-0600,109.34,4.93,02,03,1,False,06,45,False
2015-02-03T07:00:00-0600,110.68,5.08,02,03,1,False,07,00,False
2015-02-03T07:15:00-0600,124.15,5.155,02,03,1,False,07,15,False
2015-02-03T07:30:00-0600,115.9,5.23,02,03,1,False,07,30,False
2015-02-03T07:45:00-0600,115.99,5.305,02,03,1,False,07,45,False
2015-02-03T08:00:00-0600,114.54,5.38,02,03,1,False,08,00,False
2015-02-03T08:15:00-0600,94.29,5.5,02,03,1,False,08,15,False
2015-02-03T08:30:00-0600,100.28,5.62,02,03,1,False,08,30,False
2015-02-03T08:45:00-0600,105.73,5.74,02,03,1,False,08,45,False
2015-02-03T09:00:00-0600,97.61,5.86,02,03,1,False,09,00,False
2015-02-03T09:15:00-0600,93.18,5.942,02,03,1,False,09,15,False
2015-02-03T09:30:00-0600,105.97,6.025,02,03,1,False,09,30,False
2015-02-03T09:45:00-0600,86.35,6.107,02,03,1,False,09,45,False
2015-02-03T10:00:00-0600,105.89,6.19,02,03,1,False,10,00,False
2015-02-03T10:15:00-0600,87.31,6.327,02,03,1,False,10,15,False
2015-02-03T10:30:00-0600,77.65,6.465,02,03,1,False,10,30,False
2015-02-03T10:45:00-0600,109.83,6.602,02,03,1,False,10,45,False
2015-02-03T11:00:00-0600,101.1,6.74,02,03,1,False,11,00,False
2015-02-03T11:15:00-0600,114.28,6.73,02,03,1,False,11,15,False
2015-02-03T11:30:00-0600,91.34,6.72,02,03,1,False,11,30,False
2015-02-03T11:45:00-0600,85.76,6.71,02,03,1,False,11,45,False
2015-02-03T12:00:00-0600,100.8,6.70,02,03,1,False,12,00,False
2015-02-03T12:15:00-0600,101.04,6.785,02,03,1,False,12,15,False
2015-02-03T12:30:00-0600,90.42,6.87,02,03,1,False,12,30,False
2015-02-03T12:45:00-0600,88.2,6.955,02,03,1,False,12,45,False
2015-02-03T13:00:00-0600,101.68,7.04,02,03,1,False,13,00,False
2015-02-03T13:15:00-0600,98.85,6.92,02,03,1,False,13,15,False
2015-02-03T13:30:00-0600,105.29,6.8,02,03,1,False,13,30,False
2015-02-03T13:45:00-0600,86.73,6.68,02,03,1,False,13,45,False
2015-02-03T14:00:00-0600,92.9,6.56,02,03,1,False,14,00,False
2015-02-03T14:15:00-0600,96.45,6.535,02,03,1,False,14,15,False
2015-02-03T14:30:00-0600,105.42,6.51,02,03,1,False,14,30,False
2015-02-03T14:45:00-0600,103.4,6.485,02,03,1,False,14,45,False
2015-02-03T15:00:00-0600,110.34,6.46,02,03,1,False,15,00,False
2015-02-03T15:15:00-0600,100.74,6.422,02,03,1,False,15,15,False
2015-02-03T15:30:00-0600,94.09,6.385,02,03,1,False,15,30,False
2015-02-03T15:45:00-0600,112.38,6.347,02,03,1,False,15,45,False
2015-02-03T16:00:00-0600,103.66,6.31,02,03,1,False,16,00,False
2015-02-03T16:15:00-0600,91.3,6.262,02,03,1,False,16,15,False
2015-02-03T16:30:00-0600,90.87,6.215,02,03,1,False,16,30,False
2015-02-03T16:45:00-0600,90.35,6.167,02,03,1,False,16,45,False
2015-02-03T17:00:00-0600,91.61,6.12,02,03,1,False,17,00,False
2015-02-03T17:15:00-0600,96.74,6.042,02,03,1,False,17,15,False
2015-02-03T17:30:00-0600,92.49,5.965,02,03,1,False,17,30,False
2015-02-03T17:45:00-0600,123.24,5.887,02,03,1,False,17,45,False
2015-02-03T18:00:00-0600,134,5.81,02,03,1,False,18,00,False
2015-02-03T18:15:00-0600,131.44,5.69,02,03,1,False,18,15,False
2015-02-03T18:30:00-0600,137.09,5.57,02,03,1,False,18,30,False
2015-02-03T18:45:00-0600,137.07,5.45,02,03,1,False,18,45,False
2015-02-03T19:00:00-0600,124.1,5.33,02,03,1,False,19,00,False
2015-02-03T19:15:00-0600,131.73,5.302,02,03,1,False,19,15,False
2015-02-03T19:30:00-0600,150.6,5.275,02,03,1,False,19,30,False
2015-02-03T19:45:00-0600,163.3,5.247,02,03,1,False,19,45,False
2015-02-03T20:00:00-0600,171.06,5.22,02,03,1,False,20,00,False
2015-02-03T20:15:00-0600,150.12,5.217,02,03,1,False,20,15,False
2015-02-03T20:30:00-0600,139.28,5.215,02,03,1,False,20,30,False
2015-02-03T20:45:00-0600,129.37,5.212,02,03,1,False,20,45,False
2015-02-03T21:00:00-0600,123.09,5.21,02,03,1,False,21,00,False
2015-02-03T21:15:00-0600,107.14,5.187,02,03,1,False,21,15,False
2015-02-03T21:30:00-0600,79.76,5.165,02,03,1,False,21,30,False
2015-02-03T21:45:00-0600,95.83,5.142,02,03,1,False,21,45,False
2015-02-03T22:00:00-0600,115.38,5.12,02,03,1,False,22,00,False
2015-02-03T22:15:00-0600,94.11,5.175,02,03,1,False,22,15,False
2015-02-03T22:30:00-0600,86.44,5.23,02,03,1,False,22,30,False
2015-02-03T22:45:00-0600,79.3,5.285,02,03,1,False,22,45,False
2015-02-03T23:00:00-0600,72.78,5.34,02,03,1,False,23,00,False
2015-02-03T23:15:00-0600,89.54,5.44,02,03,1,False,23,15,False
2015-02-03T23:30:00-0600,86.82,5.54,02,03,1,False,23,30,False
2015-02-03T23:45:00-0600,82.92,5.64,02,03,1,False,23,45,False
2015-02-04T00:00:00-0600,81.78,5.74,02,04,2,False,00,00,False
2015-02-04T00:15:00-0600,71.04,5.747,02,04,2,False,00,15,False
2015-02-04T00:30:00-0600,80.23,5.755,02,04,2,False,00,30,False
2015-02-04T00:45:00-0600,73.77,5.762,02,04,2,False,00,45,False
2015-02-04T01:00:00-0600,71.13,5.77,02,04,2,False,01,00,False
2015-02-04T01:15:00-0600,66.53,5.77,02,04,2,False,01,15,False
2015-02-04T01:30:00-0600,61.09,5.77,02,04,2,False,01,30,False
2015-02-04T01:45:00-0600,59.13,5.77,02,04,2,False,01,45,False
2015-02-04T02:00:00-0600,65.44,5.77,02,04,2,False,02,00,False
2015-02-04T02:15:00-0600,71.44,5.71,02,04,2,False,02,15,False
2015-02-04T02:30:00-0600,79.24,5.65,02,04,2,False,02,30,False
2015-02-04T02:45:00-0600,68.66,5.59,02,04,2,False,02,45,False
2015-02-04T03:00:00-0600,65.6,5.53,02,04,2,False,03,00,False
2015-02-04T03:15:00-0600,70.43,5.542,02,04,2,False,03,15,False
2015-02-04T03:30:00-0600,70.8,5.555,02,04,2,False,03,30,False
2015-02-04T03:45:00-0600,71.56,5.567,02,04,2,False,03,45,False
2015-02-04T04:00:00-0600,83.27,5.58,02,04,2,False,04,00,False
2015-02-04T04:15:00-0600,68.52,5.637,02,04,2,False,04,15,False
2015-02-04T04:30:00-0600,68.73,5.695,02,04,2,False,04,30,False
2015-02-04T04:45:00-0600,71.99,5.752,02,04,2,False,04,45,False
2015-02-04T05:00:00-0600,78.73,5.81,02,04,2,False,05,00,False
2015-02-04T05:15:00-0600,77.32,5.86,02,04,2,False,05,15,False
2015-02-04T05:30:00-0600,76.51,5.91,02,04,2,False,05,30,False
2015-02-04T05:45:00-0600,71.15,5.96,02,04,2,False,05,45,False
2015-02-04T06:00:00-0600,87.88,6.01,02,04,2,False,06,00,False
2015-02-04T06:15:00-0600,90.03,6.05,02,04,2,False,06,15,False
2015-02-04T06:30:00-0600,100.56,6.09,02,04,2,False,06,30,False
2015-02-04T06:45:00-0600,112.66,6.13,02,04,2,False,06,45,False
2015-02-04T07:00:00-0600,123.67,6.17,02,04,2,False,07,00,False
2015-02-04T07:15:00-0600,128.4,6.335,02,04,2,False,07,15,False
2015-02-04T07:30:00-0600,118.48,6.5,02,04,2,False,07,30,False
2015-02-04T07:45:00-0600,103.12,6.665,02,04,2,False,07,45,False
2015-02-04T08:00:00-0600,98.26,6.83,02,04,2,False,08,00,False
2015-02-04T08:15:00-0600,104.09,7.057,02,04,2,False,08,15,False
2015-02-04T08:30:00-0600,106.03,7.285,02,04,2,False,08,30,False
2015-02-04T08:45:00-0600,87.77,7.512,02,04,2,False,08,45,False
2015-02-04T09:00:00-0600,95.23,7.74,02,04,2,False,09,00,False
2015-02-04T09:15:00-0600,90.43,7.922,02,04,2,False,09,15,False
2015-02-04T09:30:00-0600,72.5,8.105,02,04,2,False,09,30,False
2015-02-04T09:45:00-0600,69.97,8.287,02,04,2,False,09,45,False
2015-02-04T10:00:00-0600,74.34,8.47,02,04,2,False,10,00,False
2015-02-04T10:15:00-0600,60.98,8.797,02,04,2,False,10,15,False
2015-02-04T10:30:00-0600,75.42,9.125,02,04,2,False,10,30,False
2015-02-04T10:45:00-0600,69.72,9.452,02,04,2,False,10,45,False
2015-02-04T11:00:00-0600,65.92,9.78,02,04,2,False,11,00,False
2015-02-04T11:15:00-0600,74.39,10.06,02,04,2,False,11,15,False
2015-02-04T11:30:00-0600,60.46,10.35,02,04,2,False,11,30,False
2015-02-04T11:45:00-0600,76.74,10.63,02,04,2,False,11,45,False
2015-02-04T12:00:00-0600,72.93,10.92,02,04,2,False,12,00,False
2015-02-04T12:15:00-0600,83.75,11.07,02,04,2,False,12,15,False
2015-02-04T12:30:00-0600,90.15,11.22,02,04,2,False,12,30,False
2015-02-04T12:45:00-0600,83.36,11.37,02,04,2,False,12,45,False
2015-02-04T13:00:00-0600,81.39,11.53,02,04,2,False,13,00,False
2015-02-04T13:15:00-0600,74.08,11.79,02,04,2,False,13,15,False
2015-02-04T13:30:00-0600,82.65,12.05,02,04,2,False,13,30,False
2015-02-04T13:45:00-0600,86.56,12.31,02,04,2,False,13,45,False
2015-02-04T14:00:00-0600,87.67,12.57,02,04,2,False,14,00,False
2015-02-04T14:15:00-0600,65.11,12.56,02,04,2,False,14,15,False
2015-02-04T14:30:00-0600,73.39,12.55,02,04,2,False,14,30,False
2015-02-04T14:45:00-0600,74.29,12.54,02,04,2,False,14,45,False
2015-02-04T15:00:00-0600,83.99,12.53,02,04,2,False,15,00,False
2015-02-04T15:15:00-0600,101.84,12.50,02,04,2,False,15,15,False
2015-02-04T15:30:00-0600,101.32,12.48,02,04,2,False,15,30,False
2015-02-04T15:45:00-0600,92.41,12.45,02,04,2,False,15,45,False
2015-02-04T16:00:00-0600,81.05,12.43,02,04,2,False,16,00,False
2015-02-04T16:15:00-0600,83.95,12.4,02,04,2,False,16,15,False
2015-02-04T16:30:00-0600,75.73,12.37,02,04,2,False,16,30,False
2015-02-04T16:45:00-0600,81.25,12.34,02,04,2,False,16,45,False
2015-02-04T17:00:00-0600,100.23,12.31,02,04,2,False,17,00,False
